"","lat","long","name","library","state","city","firstgen","admissions"
"4051",33.91732,-117.294571,"Riverside County Office of Education-School of Career Education",0,"CA","Indio",7346.938776,NA
"4052",35.064377,-89.910526,"Mid-South Christian College",0,"TN","Memphis",NA,NA
"4053",35.60597,-77.383211,"Grace College of Barbering",0,"NC","Greenville",NA,NA
"4054",40.51034,-74.269901,"Universal Training Institute",0,"NJ","Perth Amboy",7922.077922,NA
"4055",40.061672,-74.13955,"Paul Mitchell the School-Jersey Shore",0,"NJ","Brick",4975.369458,NA
"4056",40.10503,-83.082411,"National Personal Training Institute of Columbus",0,"OH","Columbus",5542.168675,NA
"4057",29.516628,-98.405379,"ITT Technical Institute-San Antonio East",0,"TX","San Antonio",5015.461495,9375
"4058",28.57259,-81.208241,"MedTech Institute-Orlando Campus",0,"FL","Orlando",5530.227948,NA
"4059",33.515767,-82.065036,"Empire Beauty School-Augusta",0,"GA","Augusta",5159.937074,NA
"4060",43.21531,-77.729991,"Empire Beauty School-Rochester",0,"NY","Rochester",4881.391671,NA
"4061",39.040598,-94.591194,"L'Ecole Culinaire-Kansas City",0,"MO","Kansas City",5272.108844,NA
"4062",29.847413,-95.503633,"Utah College of Massage Therapy-Houston",0,"TX","Houston",4505.247376,NA
"4063",38.27561,-122.050541,"InterCoast Colleges-Fairfield",0,"CA","Fairfield",5278.20711,NA
"4064",29.45833,-98.627161,"Southern Careers Institute-San Antonio",0,"TX","San Antonio",6448.574338,NA
"4065",25.92456,-80.284651,"College of Business and Technology-Miami Gardens",0,"FL","Miami Gardens",5942.915392,NA
"4066",43.60065,-116.593951,"Milan Institute of Cosmetology-Nampa",0,"ID","Nampa",6009.944065,NA
"4067",41.61564,-87.529531,"Trenz Beauty Academy",0,"IL","Calumet City",4901.960784,NA
"4068",40.727795,-74.004892,"Arrojo Cosmetology School",0,"NY","New York",3805.309735,NA
"4069",36.08304,-115.117631,"Aviation Institute of Maintenance-Las Vegas",0,"NV","Las Vegas",4692.898273,NA
"4070",38.728941,-90.64441,"National American University-Weldon Spring",0,"MO","Weldon Spring",5342.215733,NA
"4071",40.7476,-73.983127,"DeVry College of New York",0,"NY","New York",5002.866644,8421
"4072",39.91934,-105.008901,"DeVry University-Colorado",0,"CO","Westminster",5002.866644,8571
"4073",25.98794,-80.339241,"DeVry University-Florida",0,"FL","Miramar",5002.866644,7838
"4074",41.47242,-87.327511,"DeVry University-Indiana",0,"IN","Merrillville",5002.866644,7500
"4075",44.86289,-93.331791,"DeVry University-Minnesota",0,"MN","Edina",5002.866644,5714
"4076",38.92248,-94.583901,"DeVry University-Missouri",0,"MO","Kansas City",5002.866644,8636
"4077",40.465723,-74.44394,"DeVry University-New Jersey",0,"NJ","North Brunswick",5002.866644,8706
"4078",35.13766,-80.931971,"DeVry University-North Carolina",0,"NC","Charlotte",5002.866644,6667
"4079",36.08538,-86.694521,"DeVry University-Tennessee",0,"TN","Nashville",5002.866644,8824
"4080",47.29468,-122.288091,"DeVry University-Washington",0,"WA","Federal Way",5002.866644,10000
"4081",43.03867,-87.906281,"DeVry University-Wisconsin",0,"WI","Green Bay",5002.866644,0
"4082",42.26599,-71.115961,"Northeastern University Professional Advancement Network",0,"MA","Boston",1816.63837,NA
"4083",40.04455,-74.220531,"American Institute-Toms River",0,"NJ","Toms River",6933.207902,NA
"4084",40.548458,-74.429416,"The Salon Professional Academy-South Plainfield",0,"NJ","South Plainfield",4670.658683,NA
"4085",33.46268,-111.924051,"Arizona State University-Skysong",0,"AZ","Scottsdale",3801.6,5631
"4086",32.498061,-92.030654,"Louisiana Delta Community College",0,"LA","Monroe",5142.571286,NA
"4087",0,0,"ECPI University-Newport News",NA,"VA","Newport News",4831.349206,NA
"4088",0,0,"ECPI University-Greensboro",NA,"NC","Greensboro",4831.349206,NA
"4089",0,0,"ECPI University-Columbia",NA,"SC","Columbia",4831.349206,NA
"4090",0,0,"ECPI University-Richmond West",NA,"VA","Richmond",4831.349206,NA
"4091",0,0,"Vista College-Killeen",NA,"TX","Killeen",5657.101078,NA
"4092",0,0,"McCann School of Business & Technology",NA,"PA","Wilkes-Barre",6152.980877,NA
"4093",0,0,"Strayer University-Cedar Hill",NA,"TX","Cedar Hill",5288.486417,NA
"4094",0,0,"Strayer University-San Antonio",NA,"TX","San Antonio",5288.486417,NA
"4095",0,0,"Strayer University-Stafford",NA,"TX","Stafford",5288.486417,NA
"4096",0,0,"Rasmussen College - Overland Park",NA,"KS","Overland Park",4732.221801,NA
"4097",38.71307,-121.289531,"Citrus Heights Beauty College",0,"CA","Citrus Heights",3484.848485,NA
"4098",40.168702,-75.289789,"Theological Seminary of the Reformed Episcopal Church",0,"PA","Blue Bell",NA,NA
"4099",32.64072,-117.080291,"United Education Institute-Chula Vista",0,"CA","Chula Vista",6409.424989,NA
"4100",34.07028,-118.066371,"United Education Institute-El Monte",0,"CA","El Monte",6409.424989,NA
"4101",39.742339,-84.195816,"Ohio Medical Career College",0,"OH","Dayton",6488.549618,NA
"4102",29.305626,-98.524812,"Texas A&M University-San Antonio",0,"TX","San Antonio",4812.012838,NA
"4103",40.61777,-77.567941,"Geisinger-Lewistown Hospital School of Nursing",0,"PA","Lewistown",NA,4828
"4104",30.353529,-97.688818,"Career Point College",0,"TX","Austin",5731.31591,NA
