"","lat","long","name","library","state","city","firstgen","admissions"
"1208",28.298648,-81.349696,"Technical Education Center-Osceola",0,"FL","Kissimmee",48.34437086,NA
"1209",43.02963,-88.115185,"Ottawa University-Milwaukee",0,"WI","Brookfield",43.5218325,NA
"1210",39.166116,-84.450673,"ITT Technical Institute-Norwood",0,"OH","Norwood",50.15461495,75.24
"1211",40.57267,-79.80101,"ITT Technical Institute-Tarentum",0,"PA","Tarentum",50.15461495,92
"1212",42.097151,-71.054643,"Lincoln Technical Institute-Brockton",0,"MA","Brockton",56.71841095,NA
"1213",37.62929,-77.532821,"Henrico County-Saint Marys Hospital School of Practical Nursing",0,"VA","Henrico",NA,87.1
"1214",43.015552,-75.031218,"Herkimer County BOCES-Practical Nursing Program",0,"NY","Ilion",48.35164835,NA
"1215",26.658856,-81.975445,"Cape Coral Technical College",0,"FL","Cape Coral",59.06735751,NA
"1216",40.436584,-79.987416,"Mercy Hospital School of Nursing",0,"PA","Pittsburgh",24.05063291,75
"1217",41.549585,-72.077967,"Norwich Technical High School/Adult Licensed Practical Nurse Program",0,"CT","Norwich",NA,NA
"1218",34.0326,-118.266,"Virginia Sewing Machines and School Center",0,"CA","Los Angeles",70.88607595,NA
"1219",36.209828,-94.778431,"Northeast Technology Center-Kansas",0,"OK","Kansas",58.60805861,NA
"1220",36.83679,-119.723249,"Institute of Technology",0,"CA","Clovis",55.78880407,NA
"1221",41.030572,-78.418679,"Clearfield County Career and Technology Center",0,"PA","Clearfield",66.01941748,NA
"1222",18.403009,-66.150412,"Colegio de Cinematografia Artes y Television",0,"PR","Bayamon",36.31205674,NA
"1223",42.170121,-72.481367,"Jolie Hair and Beauty Academy-Ludlow",0,"MA","Ludlow",36.36363636,NA
"1224",41.742609,-73.866586,"Dutchess BOCES-Practical Nursing Program",0,"NY","Poughkeepsie",47.61904762,74
"1225",33.50223,-86.80917,"University of Alabama at Birmingham",0,"AL","Birmingham",35.64593301,60.43
"1226",34.65428,-86.949131,"John C Calhoun State Community College",0,"AL","Tanner",47.40740741,NA
"1227",33.822128,-85.766644,"Jacksonville State University",0,"AL","Jacksonville",39.45124212,66.65
"1228",32.364317,-86.295677,"Alabama State University",0,"AL","Montgomery",36.9258754,46.39
"1229",32.369939,-86.177351,"Auburn University at Montgomery",0,"AL","Montgomery",39.06485671,78.71
"1230",34.07341,-86.781745,"George C Wallace State Community College-Hanceville",0,"AL","Hanceville",51.86820652,NA
"1231",32.42391,-85.031485,"Chattahoochee Valley Community College",0,"AL","Phenix City",42.47135843,NA
"1232",31.316086,-85.46355,"George C Wallace State Community College-Dothan",0,"AL","Dothan",52.6119403,NA
"1233",34.068595,-117.571744,"Platt College-Ontario",0,"CA","Ontario",56.85154976,NA
"1234",41.54509,-72.98033,"Stone Academy-Waterbury",0,"CT","Waterbury",61.22270742,NA
"1235",32.59244,-88.186077,"University of West Alabama",0,"AL","Livingston",40.36144578,73.47
"1236",33.464578,-86.790932,"Samford University",0,"AL","Birmingham",13.33333333,93.3
"1237",34.545471,-85.911664,"Northeast Alabama Community College",0,"AL","Rainsville",59.47242206,NA
"1238",30.639329,-87.91163,"United States Sports Academy",0,"AL","Daphne",50,NA
"1239",33.835785,-87.265034,"Bevill State Community College",0,"AL","Jasper",54.34549356,NA
"1240",58.38427,-134.636346,"University of Alaska Southeast",0,"AK","Juneau",40.37656904,48.91
"1241",33.451673,-86.890234,"Lawson State Community College-Birmingham Campus",0,"AL","Birmingham",46.23706491,NA
"1242",32.445611,-87.01324,"George C Wallace State Community College-Selma",0,"AL","Selma",50.41171089,NA
"1243",31.322947,-86.452262,"Lurleen B Wallace Community College",0,"AL","Andalusia",53.16718588,NA
"1244",32.350109,-86.343057,"H Councill Trenholm State Community College",0,"AL","Montgomery",44.51371571,NA
"1245",34.772116,-86.573817,"J F Drake State Community and Technical College",0,"AL","Huntsville",58.21529745,NA
"1246",40.451712,-79.752401,"Forbes Road Career and Technology Center",0,"PA","Monroeville",NA,NA
"1247",39.310658,-80.358395,"United Technical Center",0,"WV","Clarksburg",NA,76
"1248",28.77838,-81.251481,"Aerosim Flight Academy",0,"FL","Sanford",28.57142857,NA
"1249",40.434267,-79.785703,"Empire Beauty School-Monroeville",0,"PA","Monroeville",57.36810188,NA
"1250",40.704982,-73.375381,"Western Suffolk BOCES",0,"NY","Northport",42.66666667,NA
"1251",37.360024,-81.104647,"Mercer County Technical Education Center",0,"WV","Princeton",64.38356164,NA
"1252",27.894381,-82.757453,"Schiller International University",0,"FL","Largo",37.6146789,NA
"1253",36.033552,-95.982632,"Tulsa Technology Center-Riverside Campus",0,"OK","Tulsa",45.2173913,NA
"1254",43.815384,-111.784728,"Brigham Young University-Idaho",0,"ID","Rexburg",24.19484702,99.59
"1255",41.835447,-87.623016,"Illinois College of Optometry",0,"IL","Chicago",28.57142857,NA
"1256",40.108864,-88.230309,"University of Illinois at Urbana-Champaign",0,"IL","Champaign",23.91725921,65.56
"1257",42.036421,-88.286781,"Cannella School of Hair Design-Elgin",0,"IL","Elgin",NA,NA
"1258",41.718813,-87.610344,"Chicago State University",0,"IL","Chicago",42.48985115,21.18
"1259",38.516406,-89.924466,"Southwestern Illinois College",0,"IL","Belleville",43.92674387,NA
"1260",46.726894,-117.024296,"University of Idaho",0,"ID","Moscow",31.71947312,72.05
"1261",42.24918,-88.294087,"Cosmetology & Spa Academy",0,"IL","Crystal Lake",63.0952381,NA
"1262",42.018066,-88.32194,"Elgin Community College",0,"IL","Elgin",53.00613497,NA
"1263",41.475983,-90.449497,"Black Hawk College",0,"IL","Moline",46.47961885,NA
"1264",42.58148,-114.474373,"College of Southern Idaho",0,"ID","Twin Falls",44.60020768,NA
"1265",41.876942,-87.674126,"City Colleges of Chicago-Malcolm X College",0,"IL","Chicago",54.97362472,NA
"1266",41.961956,-88.716692,"Hair Professionals Career College",0,"IL","Sycamore",43.07692308,NA
"1267",41.877227,-87.624659,"Harrington College of Design",0,"IL","Chicago",NA,NA
"1268",42.026599,-87.814865,"Niles School of Cosmetology",0,"IL","Niles",NA,NA
"1269",41.840512,-87.99844,"Northern Baptist Theological Seminary",0,"IL","Lombard",NA,NA
"1270",41.933791,-88.766065,"Northern Illinois University",0,"IL","Dekalb",37.76371308,50.35
"1271",38.313346,-85.770179,"PJ's College of Cosmetology-Clarksville",0,"IN","Clarksville",54.43037975,NA
"1272",39.803753,-86.158213,"Ivy Tech Community College",0,"IN","Indianapolis",49.57833894,NA
"1273",41.836833,-87.629138,"VanderCook College of Music",0,"IL","Chicago",NA,95.74
"1274",40.465621,-90.685235,"Western Illinois University",0,"IL","Macomb",36.42367906,60.07
"1275",41.556723,-87.338457,"Indiana University-Northwest",0,"IN","Gary",46.0419092,79.28
"1276",40.41982,-86.887653,"Tricoci University of Beauty Culture-Lafayette",0,"IN","Lafayette",46.79487179,NA
"1277",41.681625,-86.896998,"Brown Mackie College-Michigan City",0,"IN","Michigan City",50.68888408,NA
"1278",40.459913,-86.132096,"Indiana University-Kokomo",0,"IN","Kokomo",40.90909091,71.32
"1279",39.867099,-84.886187,"Indiana University-East",0,"IN","Richmond",47.47416762,62.24
"1280",41.564254,-85.826766,"Goshen College",0,"IN","Goshen",41.56976744,65.87
"1281",39.478298,-86.047182,"Franklin College",0,"IN","Franklin",31.23877917,69.8
"1282",41.226473,-85.813931,"Grace College and Theological Seminary",0,"IN","Winona Lake",28.53628536,77.38
"1283",30.462232,-91.071568,"D'Jay's Institute of Cosmetology and Esthiology",0,"LA","Baton Rouge",43.66197183,NA
"1284",29.985149,-90.103962,"Delgado Community College",0,"LA","New Orleans",52.016708,NA
"1285",38.247469,-85.753487,"Jefferson Community and Technical College",0,"KY","Louisville",50.33301618,NA
"1286",36.61241,-88.323493,"Murray State University",0,"KY","Murray",35.51523007,90.6
"1287",37.054081,-88.658762,"West Kentucky Community and Technical College",0,"KY","Paducah",47.86206897,NA
"1288",38.146034,-85.837659,"Trend Setters' Academy of Beauty Culture-Louisville",0,"KY","Louisville",58.20895522,NA
"1289",36.869066,-83.887982,"Union College",0,"KY","Barbourville",39.46784922,69.18
"1290",38.627026,-83.805641,"Maysville Community and Technical College",0,"KY","Maysville",58.53051059,NA
"1291",32.414975,-93.724963,"American School of Business",0,"LA","Shreveport",70,NA
"1292",32.418291,-93.798229,"Ayers Career College",0,"LA","Shreveport",57.60233918,NA
"1293",32.499877,-92.126977,"Cloyd's Beauty School 1 Inc",0,"LA","West Monroe",48.7804878,NA
"1294",29.966614,-90.086573,"Crescent City Bartending School",0,"LA","New Orleans",53.91061453,NA
"1295",38.053236,-84.493883,"Transylvania University",0,"KY","Lexington",17.74193548,92.65
"1296",39.011018,-84.627357,"Empire Beauty School-Florence",0,"KY","Florence",55.61192137,NA
"1297",41.876278,-87.627068,"Robert Morris University Illinois",0,"IL","Chicago",43.98171661,24.47
